"id","visit","center","bia1a","bia1a1","bia1a2","bia1c","bia1c1","bia2a","bia2a1","bia2c","bia2c1","bia3a","bia3a1","bia3c","bia3c1","bia4a","bia4a1","bia4c","bia4c1","bia5a","bia5a1","bia5c","bia5c1","bia6a","bia6a1","bia6c","bia6c1","bia7a","bia7a1","bia7c","bia7c1","bia8","bia1b","bia1d","bia2b","bia2d","bia3b","bia3d","bia4b","bia4d","bia5b","bia5d","bia6b","bia6d","bia7b","bia7d","bia9"
"EA43550",8,"EA","I WOULD SAY ""SORRY FOR BOTHERING YOU""",,,"SAY ""O.K.""",,"MOVE OUT OF HIS WAY",,"CALL SOMEONE TO HELP ME",,"DON'T GIVE IT TO HIM",,"TELL MY MOM OR HIS MOM TO HELP",,"BANG HIM",,"TELL HIS MOTHER WHAT HE DID",,"GET BACK MY SPACE BY BANGING HI","M OUT OF THE WAY","POP HIM",,"RUN OVER THERE AND BREAK IT BY PUSH","ING THEM AWAY","TELL THEM TO STOP",,"JUMP IN AND BANG THE OTHER BOY",,"GO AND TELL HIS MOTHER THAT HE BANGED ME",,"CET",5,5,5,4,7,4,2,4,7,2,7,1,2,4,11/15/1997
"EA43569",8,"EA","GO GET MY OWN BALL FROM THE STORE",,,"GET A BALL FROM MY BROTHER'",,"TELL HIM TO LEAVE ME ALONE.","'","WALK AWAY.",,"I WOULD NOT GIVE IT TO HIM,.",,"RUN AWAY.",,"TELL HIS MOTHER ON HIM.",,"TELL HIS MOTHER ON HIM TO GET HIM INTO TROUBLE",,"TELL HIS MOTHER.",,"DONT KNOW",,"BREAK IT UP BY STANDING BETWEEN THE","M","DONT KNOW",,"BREAK IT UP BY STANDING BEWEEN.",,"DONT KNOW",,"BEB",5,5,1,5,7,5,4,4,4,22,7,22,7,22,8/15/1996
"EA43575",8,"EA","TAKE THE BALL ANYWAY- GRAB IT FROM HIM",,,"BEAT HIM UP",,"KICK HIM IN THE LEG",,"RUN",,"DON'T GIVE IT TO HIM",,"BANK HIM",,"TELL MY MOTHER",,"TELL THEIR FATHER",,"TELL HIM TO STOP",,"BEAT HIM UP",,"TELL THEM TO STOP",,"HIT THEM",,"KICK THE OTHER KID",,"TELL THEIR PARENTS",,"CET",2,2,2,5,7,2,4,4,1,2,1,2,2,4,1/15/1997
"EA43583",8,"EA","GO FIND ANOTHER BALL",,,"GO ASK THE COACH FOR A BALL",,"NOTHING",,"WALK AWAY",,"SAY ""LEAVE ME ALONE"" AND SAY ""NO""",,"RUN INTO ANOTHER STORE",,"SAY TO HIM ""YOUR MOTHER""",,"IGNORE HIM",,"PUSH HIM BACK",,"SAY ""DON'T GET IN FRONT OF ME""",,"SAY ""STOP HITTING"" TO THEM",,"NOTHING ELSE",,"TELL MY FRIEND TO HIT THE OTHER PERSON BACK",,"I WOULD SAY ""STOP HITTING HIM"" TO THE OTHER","BOY","BEB",5,4,22,5,1,5,3,5,2,1,1,22,3,1,10/15/1997
"EA43597",8,"EA","I WOULD TAKE THE BALL.",,,"I'D ASK HIM IF I CAN GET ONE SHOT WITH IT.",,"I WOULD ASK HIM ""EXCUSE ME WHY DO YOU HIT ME?""",,"I'D TALK IT OUT WITH HIM.",,"ASK HIM COULD YOU GIVE MY MONEY BACK PLEASE.",,"I""D TELL THE POLICE.",,"I'D TELL HIM TO STOP MAKING FACES","BEHIND PEOPLES BACK.","TELL THE TEACHER.",,"I""D PUSH HIM BACK.",,"BANG HIM IN THE FACE.",,"BREAK IT UP.  TAKE THE OTHER BOY AW","AY AND GET SOMEBODY ELSE TO TAKE THE OTHER BOY AWAY.","TELL THEM WHY ARE YOU ALL FIGHTING YOU COULD S","OLVE THE PROBLEM.","I WOULD SAY WHY ARE YOU ALL FIGHTING?",,"I'D SAY DO YOU NEED SOME HELP?  IF HE SAYS YES",", I'D HELP.  I'D TELL HIM DON'T FIGHT CAUSE FIGHTING IS NOT GOING TO SOLVE N","KRW",2,1,1,1,1,4,1,4,2,2,7,1,1,1,10/15/1998
"EA43602",8,"EA","TAKE THE BALL FROM HIM",,,"PLAY WITH ANOTHER KIND OF BALL",,"TELL MY MOM",,"NOTHING",,"CALL THE POLICE - 911",,"CALL THE FIRE DEPARTMENT",,"NOTHING",,"NOTHING",,"I WOULD LET THEM",,"NOTHING",,"NOTHING",,"NOTHING",,"TELL MY MOTHER",,"THAT'S ALL",,"CET",2,5,4,22,4,4,22,22,5,22,22,22,4,22,2/15/1997
"EA43623",8,"EA","I WOULD SAY CAN I HOLD THE BALL PLEASE.",,,"ASK HIM TO PLAY WITH ME.",,"SAY DON'T HIT ME.",,"I WOULD SAY I DID NOT DO NOTHING TO YOU.",,"SAY NO YOU CAN NOT HAVE MY MONEY.",,"SAY I HAVE TO PAY BILLS AND STUFF.",,"I WOULD SAY WHAT DID YOU SAY BEHI","ND MY BACK?","I WOULD SAY IF YOU SAY IT BEHIND MY BACK THEN","YOU CAN SAY IT TO MY FACE.","I WOULD TELL HIM I WAS HERE FIR","ST.","I WOULD SAY YOU CANNOT GET IN FRONT OF ME.",,"I WOULD GET BETWEEN THEM AND SAY ST","OP.","I WOULD TELL THEM TO STOP FIGHTING",,"I WOULD SAY STOP FIGHTING BEFORE I GO TELL YOUR MO","THER.","I WOULD SAY STOP BEFORE I GO GET THE  BELT.",,"KRW",1,6,1,1,1,1,1,1,1,1,7,1,3,3,1/15/1999
"EA43635",8,"EA","GO ASK ANOTHER KID",,,"GO ASK MY MOTHER TO BUY ME A BASKETBALL",,"STEP BACK",,"RUN",,"LET HIM HAVE IT AND ASK MY MOTHER FOR SOME MORE SO THERE IS NO FUSS",,"JUST HIT HIM UPSIDE HIS HEAD WITH A BAT IF I","HAD ONE","I WOULD GO OVER THERE AND SAY,","""WHY DO YOU LIE?"" AND TELL MY MOTHER","PUNCH HIM IN HIS FACE",,"I WOULD RUN INTO HIM LIKE A","FOOTBALL PLAYER DOES","JUST GO TO THE BACK OF HIM AND WAIT",,"NOTHING",,"WALK PAST THEM SO I DON'T GET INVOLVED IN THE","FIGHT","NOTHING",,"DON'T GET INVOLVED, I DON'T HAVE FRIENDS",,"CET",5,5,5,5,5,2,1,2,2,5,7,7,5,5,1/15/1998
"EA43684",8,"EA","I WOULD FORGET IT AND PRACTICE TOMORROW",,,"PRETEND I HAVE A BALL IN MY HAND AND PRACTICE",,"I WOULD GO THE OTHER WAY",,"WALK PAST HIM",,"I WOULD GIVE HIM MY MONEY",,"SAY NO TO HIM",,"I WOULD LEAVE IT BE BECAUSE IF I","KNOW IT IS NOT TRUE THAT IS ALL THAT MATTERS","I WOULD CONFRONT THE PERSON",,"I WOULD TELL THE TEACHER OR A G","ROWNUP","TELL HIM TO STOP PUSHING ME",,"I WOULD GO AND TELL SOMEONE THAT TH","E KIDS ARE FIGHTING","I WOULD GET BETWEEN BY PUSHING THEM APART",,"I WOULD TELL THEM BOTH TO CHILL",,"I WOULD GRAB MY FRIEND'S ARM AND MAKER HER STO","P FIGHTING","KYR",5,5,5,7,5,1,5,1,4,1,4,7,1,7,1/15/1999
"EA43696",8,"EA","I WOULD GET ANGRY AND LEAVE HIM ALONE.",,,"LET HIM STAY THERE AND ASK MY OTHER FRIENDS.",,"IF HE HIT ME I WOULD HIT HIM BACK LIKE MY MOTHER ALWAYS TOLD ME.",,"IF HE WOULD TRIP ME THEN I WOULD TRIP HIM, BEA","CAUSE MY MOTHER SAID WHAT EVER THEY DO TO YOU YOU DO THE SAME TO THEM.","WOULDN'T LET HIM HAVE IT.  I WOULD SAY DO NOT TRY TO STEAL MY MONEY AND","IF HE WOULD I WOULD SNATCH IT OUT OF HIS HAND.","IF HIS MOTHER OR FATHER WALK IN I WOULD TELL H","IS MOTHER OR FATHER.","I WOULD TELL HIS MOTHER OR FATHER",".","I WOULD IGNORE HIM.",,"PUSH HIM BACK.",,"PUSH HIM BACK.",,"JUST LEAVE THEM ALONE.",,"SAY BREAK IT UP.",,"JUST LEAVE THEM ALONE.",,"SAY YOU SHOULD STOP FIGHTING AND SHAKE HANDS.",,"KRW",5,5,2,2,7,4,4,5,2,2,5,1,5,1,10/15/1998
"EA43707",8,"EA","TELL THE COACH",,,"I WILL TELL MY MOM THAT HE OR HER WILL NOT LET M","E HOLD IT","I WOULD RUN TO MY MOM",,"TELL MY MOM THAT HE MIGHT HIT ME ONCE","OR NOT","I WOULD PUSH HIM OUT OF MY WAY",,"I MIGHT HIT HIM",,"I WOULD GO UP IN HIS OR HER FACE","AND SAY ""ITF YOU HAVE SOMETHING TO SAY, SAY IT IN MY FACE""","I WOULD TALK BEHIND THEIR BACK",,"I WOULD PUSH HIM BACK THEN GET","MY WATER","TELL MY TEACHER THAT THE BOY HAD PUSHED MY SO","I AM ALLOWED TO PUSH HIM BACK","I WOULD TELL THEM TO STOP IT",,"TELL THEIR PARENTS THAT THEY WERE DOING THAT",,"I WOULD TELL THEM TO STOP HITTING MY FRIEND",,"I WOULD HIT THEM",,"CET",4,4,4,4,2,2,3,3,2,2,1,4,1,2,4/15/1997
"EA43715",8,"EA","LEAVE HIM ALONE",,,"ASK MY FATHER CAN IN BORROW HIS BALL",,"WALK AWAY FROM HIM",,"DON'T KNOW",,"FIRST I WOULD SAY ""NO"", THEN I WOULD WALK AWAY",,"DONT KNOW",,"PAY HIM NO MIND",,"DONT KNOW",,"PUSH HIM BACK",,"DON'T KNOW",,"STOP THEM, BY TAKING ONE OF THEM","HOME","DON'T KNOW",,"STOP THEM FROM FIGHTING, BREAK IT UP WITH MY ARMS",,"DONT KNOW",,"BEB",5,5,5,22,1,22,5,22,2,22,7,22,7,22,11/15/1997
"EA43730",8,"EA","ASK HIM NICELY AGAIN",,,"ASK SOMEBODY ELSE TO HOLD THEIR BALL",,"WALK AWAY",,"DON'T PAY HIM NO MIND",,"SAY ""NO""",,"TELL HIM HE CAN'T HAVE MY MONEY",,"TELL HIM NOT TO DO IT ANY MORE",,"NOTHING ELSE",,"PUSH HIM BACK",,"TELL HIM TO GET OUT OF MY SPACE",,"BREAK IT UP-GO OVER THERE AND PUSH","THEM TO THE SIDE AND BREAK THEM OFF OF EACH OTHER","NOTHING ELSE",,"BREAK IT UP- BY PUSHING THEM APART",,"TELL THEM TO STOP FIGHTING\",,"CET",1,5,5,5,1,1,1,22,2,1,7,22,7,1,5/15/1997
"EA43742",8,"EA","I WOULD WALK HOME AND GET MY OWN BASKETBALL",,,"ASK ANOTHER KID IF HE HAS A BASKETBALL",,"STAND THERE TO SEE IF HE DOES AND IF HE DOES I WOULD DUCK",,"RUN BEHIND HIM AND KICK HIM",,"I WOULD SAY ""NO""",,"I WOULD RUN IN THE FRONT OF THE LINE AND GET M","Y SODA AND SAY MY MONEY IS NOW GONE","I WOULD HIT HIM",,"I WOULD TALK TO HIM AND SAY WHY ARE YOU TALKIN","G ABOUT ME BEHIND MY BACK","PUSH HIM BACK",,"PUNCH HIM","AND KICK HIM","I WOULD BREAK IT UP BY GETTING IN","THE MIDDLE AND KEEPING THEM FROM PUNCHING AND KICKING EACH OTHER","NOTHING",,"I WOULD HELP MY FRIEND, BY HELPING HIM FIGHT THE","OTHER PERSON","I WOULD BREAK IT UP BY PUSHING THE OTHER KID",,"BEB",5,5,7,2,1,7,2,1,2,2,7,22,2,2,1/15/1998
"EA43756",8,"EA","GO HOME AND GET MY OWN.",,,"TELL MY MOTHER.",,"HIT HIM BACK.",,"GO TELL YOUR MOTHER.",,"BANG HIM.",,"KICK HIM.",,"SAY ""DO YOU HAVE A BEEF WITH ME?'","""","TELL MY UNCLE OR MY FATHER OR MY MOTHER.",,"GET UP AND BANG HIM.",,"TELL THE PRICIPAL.",,"JUMP IN IT AND START FIGHTING.",,"TELL SOMEBODY TO BREAK IT UP.  TELL MY UNCLE T","O BREAK IT UP.","JUMP IN IT AND START FIGHTING.",,"BREAK IT UP BY BANGING WHO EVER IS FIGHTING MY","FRIEND.","KRW",5,4,2,4,2,2,1,4,2,4,2,4,2,2,10/15/1998
"EA43774",8,"EA","GO ASK SOMEBODY ELSE,",,,"I WOULDN'T FIGHT FOR THE BALL, BUT I WOULD LOOK","IN THE GYM CLOSET TO SEE IF THERE ARE ANY BALLS IN THERE TO USE","GO AWAY FROM HIM, BY GOING SOMEWHERE ELSE",,"DONT KNOW",,"TELL HIM ""NO""",,"GET HIM A CUP AND POUR SOME SODA IN THERE FOR","HIM SO HE CAN HAVE SOME SODA TOO.","TELL SOMEBODY, LIKE MY MOM OR THE","PRINCIPAL, OR FATHER SO THEY COULD HELP ME","TELL THE KID THAT THEY SHOULD TREAT PEOPLE THE","WAY THAT THEY WANT TO BE TREATED","GO TELL THE TEACHER, SO THE","TEACHER WILL TELL HIM TO SAY HE IS SORRY","TELL HIM THAT HE SHOULD NOT DO THAT BECAUSE HE","MAY PUSH SOMEBODY AND BUST THEIR HEAD","GO TELL A GROWN-UP SO THE GROWN-UP","WILL MAKE THEM STOP","TELL THE KIDS TO STOP BECAUSE ONE OF THEM MIGH","T GET HURT","TELL THEM TO STOP BECAUSE THEY SHOULDN'T FIGHT","BECAUSE THEY MIGHT GET HURT AND END UP GOING TO THE HOSPITAL","TELL THEIR MOTHER, SO THEIR MOTHER WILL MAKE T","HEM STOP FIGHTING AND IF THEY DON'T THEIR MOTHER WILL PUNISH THEM","BEB",5,5,5,22,1,6,4,1,4,1,4,1,1,4,4/15/1997
"EA43789",8,"EA","I WOULD GO BACK AND GET MY BALL",,,"ASK FOR A PERSON IF I COULD HAVE THEIR BALL",,"HIT HIM BACK",,"GO TELL MY MOTHER",,"SAY NO",,"BEAT HIM UP",,"I WOULD GET MY FRIENDS TO BEAT HI","M UP","GO TELL MY MOTHER",,"PUSH HIM BACK",,"BEAT HIM UP AND TAKE HIS MONEY",,"BREAK UP THE FIGHT- PUSH THEM APART",,"I WOULD GET A STICK AND HIT THEM IN THE BACK",,"TAKE THEM TO THE HOUSE AND TELL HIS MOTHER",,"I WOULD TAKE THE OTHER PERSON HOME AND LET HIM","COOL OFF","CET",5,5,2,4,1,2,2,4,2,2,7,2,7,7,6/15/1998
"EA43817",8,"EA","I WOULD TELL THE COACH THAT THEY ARE NOT SHARING, SO THEY WILL TELL THEM TO","LET ME USE THE BALL","04","I WOULD SAY ""CAN I HOLD THE  BALL PLEASE?""",,"RUN AND TELL THEIR PARENTS THAT THEY MIGHT HIT ME",,"TELL THEM DON'T HIT ME",,"I WOULD SAY ""NO""",,"GO TELL THEIR PARENTS BECAUSE THEY ARE BOTHER","ING ME AND MY MOM GAVE ME THE MONEY","TELL THEIR PARENTS BECAUSE ITS NO","T NICE TO TALK ABOUT PEOPLE, SO THEIR PARENTS WILL TELL THEM TO STOP","I WOULD TELL THE KIDS SISTER THAT HE WAS MAKIN","G UP STORIES ABOUT ME  BEHIND MY BACK AND THEN SHE WOULD GIVE HIM A BEATING","GO RUN AND TELL THEIR FATHER,","SO HE WILL GET MAD AT HIM","GO TELL THE COACH AND THE CAPTAIN OF OUR GROUP","TO NOT LET HIM JOIN IN OUR GROUP ANYMORE","GO TELL THEIR MOTHER AND FATHER, SO","THEY WILL BEAT THE KID","I WOULD RUN OVER THEIR AND START ANOTHER FIGHT","WITH THE BOY THAT WAS MESSING WITH THE GIRL","START ANOTHER FIGHT WITH THE GIRL WHO IS FIGHTING",,"I WOULD START BREAKING IT UP, WHILE I WAS FIGH","TING THEM","BEB",,1,4,1,1,4,4,4,5,4,2,2,2,2,12/15/1997
"EA43825",8,"EA","LEFT IT ALONE, LEAVE THE CHILD ALONE",,,"DON'T WORRY ABOUT THE BALL",,"DON'T LOOK AT HIM",,"KEEP WALKING, KEEP MY EYES ON THE WAY I AM","WALKING","IGNORE THE KID",,"DON'T GIVE THEM MY MONEY, DON'T LOOK AT THE","PERSON THAT IS SAYING IT","MOVE AWAY FROM THE PERSON",,"DON'T PAY IT ATTENTION, KEEP DOING WHAT I AM","DOING","DON'T PAY ATTENTION TO THE KID,","GO BACK AND GET INTO LINE","LOOK AT THE PERSON LIKE THEY ARE MEAN, JUST","KEEP WALKING AND GET IN THE BACK","DON'T PAY ATTENTION TO IT",,"LEAVE IT ALONE, DON'T TALK ABOUT IT",,"JUST WATCH MY FRIEND FIGHT, SO I WON'T TRY TO","GET INTO IT","WALK AWAY, DON'T PAY ATTENTION",,"BEB",5,5,5,7,5,7,5,5,5,5,5,5,5,5,2/15/1998
"EA43840",8,"EA","NOTHING",,,"TELL THE POLICE",,"HIT HIM BACK",,"TELL HIM TO STOP",,"SAY NO",,"JUST LET HIM GET MY MONEY AND GET SOME MORE",,"BE MAD AND SAY SOMETHING TO THE K","ID","TALK BEHIND THEIR BACK WITH MY COUSIN",,"TELL HIM CAN I PLEASE GET BACK","IN MY SPACE","PUSH HIM BACK",,"BREAK THE FIGHT UP AND TELL THEM TO","STOP FIGHTING AND BE FRIENDS","TELL SOMEBODY THEY WERE FIGHTING",,"JUMP IN IT WITH HER",,"TELL THEM THAT IS MY BEST FRIEND AND FIGHT WIT","H HER","CXM",5,4,2,1,1,5,1,3,1,2,1,4,2,2,1/15/1999
"EA43858",8,"EA","NOTHING, WALK AWAY",,,"NOTHING",,"HIT HIM BACK. STAND RIGHT THERE.",,"JUST WALK STRAIGHT",,"FIGHT HIM",,"RUNAWAY",,"TELL MY MOTHER AND FATHER THAT TH","IS KID HAS BEEN SAYING THINGS.","TELL MY AUNT GLORIA",,"TELL HIM TO GET OUT OF YOUR PLE","ASE.","NOTHING",,"TELL THEM TO STOP",,"TELL THEIR MOTHERS",,"TELL THEM TO STOP",,"STOP THEM; BREAK IT UP BY TELLING THEIR MOTHER","S","JBH",5,5,2,7,2,5,4,4,1,5,1,4,1,4,8/15/1996
"EA43861",8,"EA","WALK OFF",,,"TELL MY MOTHER",,"TELL MY FATHER",,"HIT THEM BACK",,"RUN OFF",,"TELL THE TEACHER OR A PARENT",,"TELL THE TEACHER",,"GET THEM BACK",,"TELL THE TEACHER 0R MY PARENTS",,"BEAT THEM UP",,"RUN AND GET THE TEACHER TO BREAK T","HE FIGHT UP","I WOULD BREAK THE FIGHT UP WITH MY FATHER",,"BREAK THE FIGHT BY WITH MY UMBRELLA IF IT WAS RAIN","ING","TELL SOMEBODY",,"CXM",5,4,4,2,5,4,4,2,4,2,4,4,2,4,1/15/1999
"EA43872",8,"EA","I WOULD JUST WALK AWAY",,,"I WOULD SAY, ""YOU ARE MEAN"" AND THEN WALK AWAY",,"SAY, ""WHAT'S WRONG?""",,"ASK HIS MOTHER WHAT IS THE MATTER WITH HIM",,"I WOULD RUN AWAY AND TELL MY MOMMA, BECAUSE I WANT HER TO SAY TO THE PE","RSON TO GET AWAY FROM ME","I WOULD NEVER NEVER LOOK AT THEM IF I SEE THEM","AGAIN","I WOULD IGNORE HIM, NOT LISTEN TO","HIM","I WOULD SAY, ""I KNOW I AM PRETTY""",,"GO TELL AN ADULT, SO THEY WILL","SEND HIM OUT","I WOULD HIT HIM BACK",,"I WOULD TELL THEM TO STOP AND I WOU","LD GO TELL AN ADULT, SO THEY WILL TELL THEM TO STOP FIGHTING WITH EACH OTHER","TELL THEM ""YALL STAY AWAY FROM EACH OTHER, UNT","IL YA'LL GET YOURSELVES TOGETHER""","I WOULD TELL HER TO STOP FIGHTING AND LEAVE THEM","ALONE, AND THEN WHEN SHE GETS HOME SHE CAN TELL HER MOTHER","I WOULD GET IN IT AND STOP THEM, BY HOLDING MY","HAND OUT","BEB",5,1,1,4,4,5,5,1,4,2,4,1,1,7,11/15/1997
"EA43886",8,"EA","WALK AWAY AND ASK SOMEBODY ELSE WITH A BASKETBALL OR BUY ONE WITH MY ALLOWAN","CE.",,"NOTHING ELSE",,"NOTHING, I WOULD KEEP WALKING.",,"NOTHING.",,"I WOULD NOT GIVE IT TO HIM, WALK AWAY",,"I WOULD SAY NO THIS IS MY MONEY AND TELL HIM T","O EARN HIS OWN MONEY.","NOTHING.",,"NOTHING, THE OTHER PEOPLE WILL FIGURE OUT THAT","THE BOY WAS LYING ALL ALONG.","I WOULD GET BACK IN LINE.",,"I WOULD TRIP HIM AND MOVE HIM OUT OF THE WAY",,"NOTHING.",,"WALK BY, NOTHING.",,"I WOULD SAY CALM DOWN AND TELL MY FRIEND TO WALK A","WAY.","I WOULD TELL HIM TO WALK AWAY BECAUSE HE MIGHT","GET HURT.","BEB",5,22,7,22,7,1,5,5,7,2,5,5,1,1,6/15/1996
"EA43900",8,"EA","GO ASK MY COUSIN- CAN I HOLD HIS BASKETBALL",,,"GO ASK MY FRIEND- CAN I HOLD HIS BASKETBALL",,"ASK THEM WHAT IS WRONG",,"WALK THEM HOME IF THEY ARE LOST",,"SAY NO",,"WALK AWAY",,"WALK AWAY AND SAY I DON'T CARE",,"GO DO WHAT I HAVE TO DO AND DON'T SAY NOTHING","TO ANYONE","I WOULD WALK TO THE END OF THE","LINE","GO TELL THE TEACHER",,"BREAK IT UP BY WALKING AND PUSHING","THEM OFF OF EACH OTHER","TELL THEM TO GO TO THE PRINCIPAL",,"BREAK IT UP BY TELLING THEM THEY SHOULDN'T FIGHT L","IKE THAT BECAUSE THEY ARE FRIENDS","I WOULD TELL THEM TO WALK AWAY AND TELL THEM T","O TALK THINGS OUT WITH EACH OTHER","CET",5,5,1,6,1,5,5,5,5,4,7,1,1,1,9/15/1997
"EA43913",8,"EA","I WOULD JUST SAY OK AND GET MY OWN BALL FROM THE STORE",,,"I WOULD SAY ""WANT TO SHARE? AND BE FRIENDS AND P","LAY BALL TOGETHER?""","MOVE OUT OF THE WAY, GO ACROSS THE STREET",,"ASK HIM WHAT IS WRONG",,"I WOULD KEEP MY MONEY AND RUN HOME AND TELL MY MOTHER",,"TRY TO BE FRIENDS WITH HIM AND CHANGE HIM TO B","E NICE AND NOT A BULLY","MAKE UP NASTY STORIES BEHIND THEI","R BACK AND THEN THEY WILL SEE HOW IT FEELS","ASK HIM IF HE SAID ANYTHING AND THEN WALK AWAY",,"TELL MY TEACHER SO SHE WILL SOL","VE THE PROBLEM AND HE OR SHE WON'T MESS WITH ME AGAIN","I WOULD SAY ""HEY YOU RUDE TO ME"" AND THEN CALL","MY TEACHER TO TAKE HIM AWAY","BREAK IT UP PUSH THEM APART FROM EC","ACH OTHER AND HOLD THEM BACK SO THAT NO ONE WILL GET HURT","TELL THEM TO SHAKE EACH OTHERS HAND AND NEVER","TO DO IT AGAIN","TELL HIM TO COME ON AND THEN HE WILL WALK AWAY",,"I WOULD TRY TO GET THEM TO BE FRIENDS, TELL TH","EM TO SHAKE HANDS AND TELL BOTH OF THEM THEY ARE SORRY","BEB",5,6,5,1,5,6,3,1,4,1,7,1,1,1,2/15/1997
"EA43921",8,"EA","ASK IF I COULD SHARE WITH SOMEONE ELSE.",,,"WAIT UNTIL NEXT YEAR",,"TELL THE NEAREST GROWNUP",,"IF YOU LIVE CLOSE, RUN HOME",,"I WOULD SAY NO, FIND YOUR OWN",,"IF YOU HAD SOME TAPE, TAPE HIS LIPS",,"I WOULD GO IN HIS FACE AND SAY IF","YOU CAN TALK BEHIND MY BACK YOU CAN SAY IT IN MY FACE","IGNORE IT",,"GET BACK IN MY SPOT",,"ACT LIKE IT NEVER HAPPENED",,"STAY OUT OF THE WAY",,"JUMP OUT OF THE WAY",,"I WOULD SAY I AM NOT YOUR FRIEND ANYMORE",,"IF SHE OR HE COMES KNOCKING ON MY DOOR AGAIN I","WOULD SHUT THE DOOR ON THEIR FACE","CET",5,5,4,5,1,2,3,5,7,5,5,5,1,7,4/15/1997
"EA43937",8,"EA","ASK SOMEONE FOR A BALL",,,"GO GET MY OWN BALL",,"WALK AWAY",,"GO HOME",,"SAY NO",,"TELL MY MOM",,"TELL HIS MOM",,"GO HOME",,"TELL MY TEACHER",,"TELL THE PRINCIPAL",,"NOTHING",,"BREAK IT UP.  TELL SOMEBODY.",,"TELL HIM TO STOP",,"BEAT HIM UP TO.",,"CET",5,5,5,5,1,4,4,5,4,4,22,4,1,2,8/15/1997
"EA43965",8,"EA","SAY PLEASE AND THANKYOU.",,,"TELL THE COACH.",,"TELL SOMEBODY.YELL OUT ""HEY, HEY""",,"RUN.",,"I SAY NO CAUSE I'M THIRSTY.",,"OR I'LL RUN AND GO TO THE STORE REAL FAST.",,"I SAY NO I DIDN'T AND SAY STOP SA","YING THAT OR GO AWAY.","TELL THEIR FRIENDS THAT HE DID IT AND THEY SAY","NO HE DIDN'T AND I SAY YES HE DID BECAUSE HE WANTS TO LIE.","PUSH HIM BACK.",,"SAY THAT WAS MY SPOT AND YOU CAN'T GET IN FRON","T OF ME AND I WOULD TELL SOMEBODY LIKE AN ADULT.","GO TELL SOMEBODY LIKE A WOMAN OR A","MAN.","TELL THEIR MOTHER.",,"BREAK IT UP BY SAYING STOP FIGHTING.",,"GO TELL MY MOTHER.",,"KRW",1,4,1,5,1,5,1,3,2,1,4,4,1,4,4/15/1999
"EA43982",8,"EA","GO ASK MY TEACHER FOR A BALL",,,"ASK SOMEONE ELSE",,"WOULDN'T WORRY ABOUT IT",,"MOVE OUT OF HIS WAY",,"GIVE IT TO HIM.  I WOULD GO BACK TO THE PARK AND LOOK IN MY COAT FOR MO","RE MONEY.","GIVE IT TO HIM AND TELL HIM THE NEXT DAY HE OW","ES ME MONEY.","IGNORE HIM.",,"GO AND PRAY AND PUT MY MAGIC SPELL ON HIM. SEC","RET, HE WOULD BE A GOOD PERSON.","GO TO ANOTHER WATER FOUNTAIN.",,"RUN AWAY UNTIL HE IS GONE, THEN DRINK THE WATE","R.","TRY TO STOP THEM FROM FIGHTING BY","SAYING ""STOP THIS NONSENSE"".","TELL THEIR MOTHER SO SHE WILL PUNISH THEM.",,"I WOULD TELL MY FRIEND TO STOP AND LET IT GO.",,"TELL HIM OR HER TO GO TO MY HOUSE AND CALM DOW","N.","MPG",4,4,7,5,5,5,5,5,5,5,1,4,1,1,4/15/1997
"EA43998",8,"EA","GO HOME AND GET A BALL.",,,"ASK HIM AGAIN.",,"WALK BY AND DON'T SAY NOTHING.",,"WALK SOMEWHERE ELSE.",,"DON'T GIVE HIM MY MONEY.",,"TELL HIM NO, YOU CAN'T HAVE MY MONEY.",,"TELL HIM TO STOP MAKING UP","STORIES.","TELL HIM TO STOP OR I WILL GET HIM, I WOULD BE","AT HIM UP.","PUSH HIM BACK OUT OF LINE.",,"TELL HIM YOU CAN'T DO THAT I WAS HERE BEFORE","YOU.","TRY TO STOP AND MAKE THEM SHAKE","HANDS AND TELL EACH OTHER SORRY I DIDN'T MEAN IT.","TELL THEIR MOTHERS OR THEIR FATHER.",,"I WOULD TELL THE OTHER KID TO STOP MESSING WITH MY","FRIEND.","BREAK IT UP.",,"MPG",5,1,7,5,7,1,1,3,2,1,1,4,1,22,6/15/1997
"EA44009",8,"EA","BUY MY OWN BALL",,,"ASK HIM NICELY",,"IGNORE HIM",,"SAY HELLO",,"SAY NO",,"RUN",,"TELL HIS MOTHER",,"TELL HIS FATHER",,"TELL MY MOTHER OR FATHER",,"PUSH HIM BACK",,"BREAK IT UP- TELL THEM TO BE NICE A","ND DON'T FIGHT","GIVE THEM A TREAT",,"TELL HIS FATHER (MY FRIEND'S)",,"TELL THE OTHER KID'S FATHER",,"CET",5,1,5,6,1,5,4,4,4,2,1,6,4,4,6/15/1997
"EA44017",8,"EA","TAKE IT FROM HIM.",,,"LEAVE HIME ALONE AND GET ANOTHER BALL.",,"BANG HIM OR HIT HIM.",,"NOTHING","GET MY KITTEN TO SCRATCH HIM.","NO AND BANG HIM IN THE NOSE.",,"CALL THE POLICE.",,"PUNCH HIM.",,"NOTHING.",,"PUSH HIM BACK OUT OF LINE.",,"NOTHING",,"BREAK IT UP.",,"NOTHING",,"BREAK IT UP.",,"PUNCH THEM.",,"MPG",2,5,2,2,2,4,2,22,2,22,22,22,22,2,5/15/1997
